text,sentiment,source,idiom,contrast_marker
new photo shows medusa nebula is way prettier than its namesake,1,sarcasm_headlines,,
"gorsuch, like thomas, will get his big payback",1,sarcasm_headlines,,
kam chancellor got the cops called on him for looking at a gym,1,sarcasm_headlines,,
baseball's new rules are even sillier than we thought,1,sarcasm_headlines,,
some of amazon's suitors have been burned before,1,sarcasm_headlines,,
image vs. substance in your self-made journey,1,sarcasm_headlines,,
it's not the '80s anymore: transition-related care is basic health care,1,sarcasm_headlines,,
suspected killer of little girl worked for police,1,sarcasm_headlines,,
"trump responds to father of killed american soldier, can't name a single sacrifice",1,sarcasm_headlines,,
a guide to sex at 50 and beyond,1,sarcasm_headlines,,
"why goals are landmarks meant to be passed, not reached",1,sarcasm_headlines,,
negative parent-teacher conference not exactly eye-opening for area mother,0,sarcasm_headlines,,
"your heart is probably older than you think, cdc warns",1,sarcasm_headlines,,
mom uses face-painting skills to turn kids into 'something magical',1,sarcasm_headlines,,
"thomas pogge has 'done damage' to yale philosophy department, colleague says",1,sarcasm_headlines,,
"how to make greek easter sweet bread ""tsoureki""",1,sarcasm_headlines,,
sean spicer finally calls it quits after 6 months of humiliations,1,sarcasm_headlines,,
fucking idiot has perfect gif for that,0,sarcasm_headlines,,
black voter turnout so far is not good for hillary clinton,1,sarcasm_headlines,,
"and now, the first picture from the 'gilmore girls' revival",1,sarcasm_headlines,,
7 mistakes leaders make that make everyone miserable,1,sarcasm_headlines,,
james corden's 'melania' longs to be part of our world in 'little mermaid' spoof,1,sarcasm_headlines,,
styrofoam coffee cup from omaha excited to finally see pacific ocean,0,sarcasm_headlines,,
why pediatricians are so upset that trump rescinded daca,1,sarcasm_headlines,,
kathy griffin lawyers up to address 'bullying' from trump family,1,sarcasm_headlines,,
how to meditate: guided practice for stress relief,1,sarcasm_headlines,,
what a dust devil looks like on mars,1,sarcasm_headlines,,
'95-'96 prayers finally answered,0,sarcasm_headlines,,
hillary clinton makes her final pitch of the election in north carolina,1,sarcasm_headlines,,
our cross to bear,1,sarcasm_headlines,,
look: 'thor's helmet' glows in brilliant neon hues,1,sarcasm_headlines,,
poisoned daughter of russian spy released from hospital,1,sarcasm_headlines,,
"jane lynch covers 'anaconda' -- yes, really!",1,sarcasm_headlines,,
early humans finally drunk enough to invent dancing,0,sarcasm_headlines,,
norway eliminates fm radio despite majority disapproval from citizens,1,sarcasm_headlines,,
north carolina sheriff's deputies disciplined over trump rally,1,sarcasm_headlines,,
dad finally found in front of tvs at sears,0,sarcasm_headlines,,
how to give a near perfect presentation (and why it's so hard for so many),1,sarcasm_headlines,,
"bill clinton, tim kaine cancel iowa event after police shooting",1,sarcasm_headlines,,
here's what you should know about that secret seychelles meeting,1,sarcasm_headlines,,
activists rally for domestic violence survivor found guilty of child abduction,1,sarcasm_headlines,,
bob dole makes car and driver 10 best list,0,sarcasm_headlines,,
arkansas begins listing some same-sex parents on birth certificates,1,sarcasm_headlines,,
the funniest tweets from parents this week,1,sarcasm_headlines,,
restoring a sense of decency to our destructive politics,1,sarcasm_headlines,,
congress ties controversial cybersecurity bill to key spending package,1,sarcasm_headlines,,
honoring congressional gold medal recipient raoul wallenberg: one man who made a difference,1,sarcasm_headlines,,
someone edited 'the last jedi' to make a 'chauvinist cut' without women,1,sarcasm_headlines,,
i just purged 80 percent of my closet. why do i feel so guilty?,1,sarcasm_headlines,,
how this transgender political hopeful plans to capitalize on 'milestone' ruling,1,sarcasm_headlines,,
north carolina republicans brace for 'bathroom law' blowback,1,sarcasm_headlines,,
5 workplace benefits you wish your company offered,1,sarcasm_headlines,,
are you in it to win it or in it not to lose?,1,sarcasm_headlines,,
last words: alyssa edwards reflects on 'rupaul's all stars drag race',1,sarcasm_headlines,,
10 habits of people in the most toxic relationships,1,sarcasm_headlines,,
"sex abuse survivor quits pope's commission, citing 'shameful' resistance",1,sarcasm_headlines,,
this is what it was like to go to the airport before 9/11,1,sarcasm_headlines,,
cop pleads not guilty in killing of sam dubose,1,sarcasm_headlines,,
"miley cyrus and liam hemsworth smooch on nye, and the world notices",1,sarcasm_headlines,,
prince charles thinks boys are finally old enough to hear what happened to their mother,0,sarcasm_headlines,,
cookie johnson reveals what led to a secret 2-week separation from magic johnson,1,sarcasm_headlines,,
two ministers claim they could face 180 years in jail for refusing to do gay weddings,1,sarcasm_headlines,,
ben affleck nominated for best friend of matt damon,0,sarcasm_headlines,,
you are no less of a man for having been assaulted,1,sarcasm_headlines,,
"beyoncé, me and the hbcu i should have gone to",1,sarcasm_headlines,,
the new york giants are even worse than last season,1,sarcasm_headlines,,
most long island politician ever attacks opponent for not loving billy joel enough,1,sarcasm_headlines,,
nyt column asserts: us colleges stink,1,sarcasm_headlines,,
nato confronts turkey on human rights concerns after donald trump lets them slide,1,sarcasm_headlines,,
look: world cup star attacked by giant bug,1,sarcasm_headlines,,
how to encourage quiet children to push past their fears,1,sarcasm_headlines,,
these christmas-inspired burgers are making the season bright,1,sarcasm_headlines,,
"here's what we learned during this miserable, endless election year",1,sarcasm_headlines,,
this sleep condition is more common than depression,1,sarcasm_headlines,,
here's why you shouldn't take selfies with pythons,1,sarcasm_headlines,,
5 bittersweet truths that put life into perspective,1,sarcasm_headlines,,
the first trailer for the queen biopic 'bohemian rhapsody' is here,1,sarcasm_headlines,,
perfect gift for boring asshole found at crate & barrel,0,sarcasm_headlines,,
barack obama makes last-minute push to block saudi 9/11 bill,1,sarcasm_headlines,,
"verizon ny charged 'basic rate' phone customers multiple rate increases for the deployment of the fios, title ii, fttp broadband networks",1,sarcasm_headlines,,
man who tried to burn ex-girlfriend's house with cheetos is convicted,1,sarcasm_headlines,,
global perceptions of china as a superpower,1,sarcasm_headlines,,
how model valerie ramsey is opening new worlds for older women,1,sarcasm_headlines,,
mother's day ad shows moms from the perspective of toddlers,1,sarcasm_headlines,,
"wiz khalifa, fetty wap and omi had the internet's most-streamed songs of the summer",1,sarcasm_headlines,,
the united base of america,1,sarcasm_headlines,,
abdul malik abdul kareem guilty of conspiring to support isis in texas attack,1,sarcasm_headlines,,
mizzou chancellor says he's not going to rush to fire melissa click,1,sarcasm_headlines,,
deadly flooding in sudan kills at least 76 people,1,sarcasm_headlines,,
"this 4-year-old adores chris pratt so much, she totes around a cutout of him",1,sarcasm_headlines,,
"trump rebuffs his opioid task force, declines to declare state of emergency",1,sarcasm_headlines,,
educating for democracy: collegiate sports and march madness,1,sarcasm_headlines,,
bernie sanders' health care bill is a huge win for the abortion rights movement,1,sarcasm_headlines,,
warren buffett's son pledges $90 million to support girls and women of color,1,sarcasm_headlines,,
santa obliges dad of sleeping boy by snoozing on camera,1,sarcasm_headlines,,
this lady gaga parody gives a 'million reasons' why 2016 really sucked,1,sarcasm_headlines,,
alligator and python locked in death duel on golf course,1,sarcasm_headlines,,
house republican spending bill seeks to block obama's carbon rules,1,sarcasm_headlines,,
8 herbs and spices that fight off disease,1,sarcasm_headlines,,
"20 years after big tobacco, is it time for 'big pain'?",1,sarcasm_headlines,,
senator manchin's latest attempt at curbing opioid addiction is a very bad idea,1,sarcasm_headlines,,
the 6 real reasons i'm happy to be married,1,sarcasm_headlines,,
2 koreas make history marching under unified flag in olympics opener,1,sarcasm_headlines,,
praia de iracema is the place you should have been this week,1,sarcasm_headlines,,
caught on video: that horrifying moment your parachute fails and floats away in the wind,1,sarcasm_headlines,,
marco rubio doesn't have a clue what 'oscars so white' means,1,sarcasm_headlines,,
no more 'reconciliation' talk,1,sarcasm_headlines,,
"confronting isil: the day and decade ""after""",1,sarcasm_headlines,,
fema recommends americans always have go-bag packed in case past finally catches up with them,0,sarcasm_headlines,,
5 types of annoying people to avoid at all costs,1,sarcasm_headlines,,
pilot was locked out of cockpit before alps crash,1,sarcasm_headlines,,
"million robot march attended by exactly 1,000,000 robots",0,sarcasm_headlines,,
firefighter loses home to fire days after he receives racist threat,1,sarcasm_headlines,,
china to send elite army unit to ebola-hit liberia,1,sarcasm_headlines,,
literally every sentence in this ted cruz quote is misleading or false,1,sarcasm_headlines,,
chris rock and dave chappelle did a surprise stand-up set together this weekend,1,sarcasm_headlines,,
democrats split over opposing government funding bill that doesn't protect dreamers,1,sarcasm_headlines,,
"sanders gains with democratic activists, but clinton still leads",1,sarcasm_headlines,,
obama has tied reagan in public opinion polls,1,sarcasm_headlines,,
man records every detail of his life for 5 years,1,sarcasm_headlines,,
"a global meditation for world peace, december 12, 2014",1,sarcasm_headlines,,
trump won't endorse paul ryan or john mccain,1,sarcasm_headlines,,
russia vows to expand 'black list' of americans in response to new sanctions,1,sarcasm_headlines,,
adventures in instructional coaching: it's time to teach,1,sarcasm_headlines,,
"""remembering george haley: the greatest american you've never heard of""",1,sarcasm_headlines,,
this is how the republican presidential candidates talk about women,1,sarcasm_headlines,,
here's the smart thing the nfl is doing to fix its dumb catch rule,1,sarcasm_headlines,,
obama's foreign policy approval drops in new poll,1,sarcasm_headlines,,
"first nighter: gyllenhaal, wilson illuminate nick payne's 'constellations'",1,sarcasm_headlines,,
dog finds absolutely perfect place to shit,0,sarcasm_headlines,,
donald trump calls hillary clinton 'the devil',1,sarcasm_headlines,,
why the deadly attacks against foreigners in south africa come as no surprise,1,sarcasm_headlines,,
hotel/restaurant mogul robert earl wants you to be his guest,1,sarcasm_headlines,,
that show about the lady sheriff finally released on dvd,0,sarcasm_headlines,,
joe biden backed bills to make it harder for americans to reduce their student debt,1,sarcasm_headlines,,
pope visits one of italy's most dangerous areas,1,sarcasm_headlines,,
'conscious uncoupling is wimping out' and 14 other life lessons,1,sarcasm_headlines,,
"18-to-35 white, male demographic still searching for perfect way to quench its thirst",0,sarcasm_headlines,,
six inspiring architectural projects that have revitalized muslim communities,1,sarcasm_headlines,,
study: best method of finding job still excitedly circling newspaper listing in red marker,0,sarcasm_headlines,,
the house science committee doesn't seem to understand the concept of winter,1,sarcasm_headlines,,
'pan' fails to take flight at the box office,1,sarcasm_headlines,,
one direction star responds to claims he's homophobic,1,sarcasm_headlines,,
the gallery trying to get women artists paid,1,sarcasm_headlines,,
airasia passengers share stories of near-misses that kept them off vanished plane,1,sarcasm_headlines,,
i am not a prostitute. i'm a female solo traveler!,1,sarcasm_headlines,,
"newtown shooter may have had interest in pedophilia, fbi reveals",1,sarcasm_headlines,,
parents reveal the wackiest items on their kids' santa lists,1,sarcasm_headlines,,
6 summer salads you'll actually crave,1,sarcasm_headlines,,
prosecutor tells black congressmembers the war on drugs isn't racist,1,sarcasm_headlines,,
dr. krugman meets dr. fox,1,sarcasm_headlines,,
cnn's ana navarro says michelle wolf's critics are acting like 'snowflakes',1,sarcasm_headlines,,
december north dakota oil spill more than 3 times larger than initial estimate,1,sarcasm_headlines,,
seattle ushers in $15 minimum wage amid national debate,1,sarcasm_headlines,,
what this dad realized when he patted himself on the back for 'helping',1,sarcasm_headlines,,
8 holiday beauty hacks every woman should know,1,sarcasm_headlines,,
"emporia, kansas named best small town in america to escape from",0,sarcasm_headlines,,
man accused of keeping woman in crate killed by cops,1,sarcasm_headlines,,
monsanto spin doctors target cancer scientist in flawed reuters story,1,sarcasm_headlines,,
dad straps baby to steering wheel and spins him around,1,sarcasm_headlines,,
bill moyers' departure from tv leaves a huge hole,1,sarcasm_headlines,,
'alone in the game' shows biggest hurdles for lgbtq athletes exist off the field,1,sarcasm_headlines,,
12 things i've learned living 12 years with cancer,1,sarcasm_headlines,,
chief justice john roberts eulogizes antonin scalia as 'our man for all seasons',1,sarcasm_headlines,,
panama papers include dozens of americans tied to fraud and financial misconduct,1,sarcasm_headlines,,
how to stop being a martyr,1,sarcasm_headlines,,
donald glover did what any fan would do after being cast in 'solo',1,sarcasm_headlines,,
"americans more polarized than at any time in last two decades, poll shows",1,sarcasm_headlines,,
kellie pickler hilariously misses the buzzer in celebrity 'family feud' fail,1,sarcasm_headlines,,
"d-wade, udonis haslem, and lebron opt out",1,sarcasm_headlines,,
at&t set to announce directv acquisition sunday,1,sarcasm_headlines,,
"black realness in the mainstream, but is everybody watching?",1,sarcasm_headlines,,
ted cruz may be too conservative to stop trump,1,sarcasm_headlines,,
jay z hopes kalief browder's story will 'save a lot of lives',1,sarcasm_headlines,,
black twitter is freaking out over harriet tubman on the $20 bill,1,sarcasm_headlines,,
"chris christie, mike huckabee bumped from main gop debate",1,sarcasm_headlines,,
radio host pranks the $%#& out of co-host,1,sarcasm_headlines,,
donald trump reportedly approves race summit with colin kaepernick,1,sarcasm_headlines,,
"bacon good for you, reports best scientist ever",0,sarcasm_headlines,,
selig counted money while baseball lost the next generation of fans,1,sarcasm_headlines,,
seth rogen takes down donald trump in donald trump jr.'s dms,1,sarcasm_headlines,,
the most feminist white house in history just made one of its last moves on equal pay,1,sarcasm_headlines,,
is it easier to be a sahm or a working mother?,1,sarcasm_headlines,,
"man throws brisket at woman during beef at bbq fest, police say",1,sarcasm_headlines,,
how a man who got his start in construction became the most powerful foreign policy voice in congress,1,sarcasm_headlines,,
montreal's osm concludes couche-tard virée classique with record attendance,1,sarcasm_headlines,,
journalists push back on correspondents' association's response to michelle wolf,1,sarcasm_headlines,,
the daily fantasy sports protests in nyc looked hilarious,1,sarcasm_headlines,,
comic takes your awful first date to its logically terrifying extreme,1,sarcasm_headlines,,
south sudan marks 6 years of independence as 6 million go hungry,1,sarcasm_headlines,,
'star wars' fans are freaking out because 'jedi' in 'the last jedi' is plural,1,sarcasm_headlines,,
freedom with a twist of maturity,1,sarcasm_headlines,,
six teenagers in britain suspected of killing polish man in hate crime,1,sarcasm_headlines,,
there's nothing wrong with those of us who want to color our gray hair,1,sarcasm_headlines,,
"watch out, sephora. h&m beauty is coming for you.",1,sarcasm_headlines,,
jeremy corbyn is following bernie sanders' campaign with 'great interest',1,sarcasm_headlines,,
google introduces a new way to screen telemarketers,1,sarcasm_headlines,,
federal judge orders return of iranian national deported under trump's ban,1,sarcasm_headlines,,
how to splurge without derailing your weight loss,1,sarcasm_headlines,,
khizr khan sees a shared 'moral compass' in lessons of japanese-american incarceration,1,sarcasm_headlines,,
donald trump picks up his first congressional endorsements,1,sarcasm_headlines,,
stop judging other moms,1,sarcasm_headlines,,
sephora makeup artist helping woman create the perfect pink eye,0,sarcasm_headlines,,
every single slang word ever used for 'drunk',1,sarcasm_headlines,,
this is the world in your voice.,1,sarcasm_headlines,,
relapse greatest week of man's life,0,sarcasm_headlines,,
honest parents share their hilarious confessions,1,sarcasm_headlines,,
second texas judge leaves the republican party in the age of donald trump,1,sarcasm_headlines,,
8 buttoned-up wedding looks that are anything but boring,1,sarcasm_headlines,,
newspaper formally apologizes to wookiees for a 40-year-old 'star wars' mistake,1,sarcasm_headlines,,
"european commission president rips brexit leaders as 'sad,' 'not patriots'",1,sarcasm_headlines,,
highway sign hacked to show crude message about donald trump,1,sarcasm_headlines,,
watch: shep smith's chilling description of new isis video,1,sarcasm_headlines,,
the democratic presidential candidates meet again at a forum in iowa,1,sarcasm_headlines,,
"a global inspiration: 'queen of katwe' brings worldwide message of faith, resilience for youth",1,sarcasm_headlines,,
is twitter bad for language? statistical analysis says no (new book),1,sarcasm_headlines,,
jesus was a socialist,1,sarcasm_headlines,,
considering self-employment? 7 questions to ask yourself,1,sarcasm_headlines,,
do we risk having two-tier access to renewable energy?,1,sarcasm_headlines,,
this guy used augmented reality to recreate 'the ring' in real life,1,sarcasm_headlines,,
'full frontal with samantha bee' imagines trump's twitter reviews of meryl streep films,1,sarcasm_headlines,,
"a-sides with jon chattman: ryan shaw shows some ""real love""; animal years lift some spirits",1,sarcasm_headlines,,
the fbi just blasted reporting on the san bernardino killings,1,sarcasm_headlines,,
woman perfectly breaks down why she's not 'just' a nurse,1,sarcasm_headlines,,
white house: no evidence russian air strike killed isis leader,1,sarcasm_headlines,,
rockette says inauguration performance is 'an issue of racism and sexism',1,sarcasm_headlines,,
"latina says napa valley wine train threatened her group too, suggests 'a pattern'",1,sarcasm_headlines,,
california mayor sleeps in cardboard box for night to 'experience' homelessness,1,sarcasm_headlines,,
watch: homophobes have invented a scary new tactic to undo equal rights,1,sarcasm_headlines,,
12 delicious marcel duchamp quotes to unleash your inner artist,1,sarcasm_headlines,,
bill cosby defamation suit adds four more women,1,sarcasm_headlines,,
donald trump revels in recounting the 'very good towels' he threw to hurricane victims,1,sarcasm_headlines,,
want to harm your relationship? here are 2 easy ways!,1,sarcasm_headlines,,
"if you can't keep your new year's resolutions, be kind to yourself",1,sarcasm_headlines,,
philadelphiatheatreco. celebrates 40 with stars aligned,1,sarcasm_headlines,,
7 new reasons to love wallpaper,1,sarcasm_headlines,,
"a song for bruce rauner, illinois' uber-rich gop governor candidate",1,sarcasm_headlines,,
"stage door: lypsinka! the trilogy, billy & ray, mozart's the magic flute",1,sarcasm_headlines,,
kashmir: when is the farewell to violence?,1,sarcasm_headlines,,
why writers must plan to be surprised,1,sarcasm_headlines,,
why have there been so many anti-gay attacks in dallas?,1,sarcasm_headlines,,
kentucky governor's crime plan: volunteer 'prayer patrols' roaming the streets,1,sarcasm_headlines,,
trevor noah: michael flynn too 'stupid' to be national security adviser,1,sarcasm_headlines,,
getting randomly picked to make half-court shots now best way to earn living,0,sarcasm_headlines,,
snl praised for 'draw muhammad' skit,1,sarcasm_headlines,,
democratic senators vow transportation bill fight over safety,1,sarcasm_headlines,,
female entrepreneur : karen quinones,1,sarcasm_headlines,,
reese witherspoon was red hot at the 'gone girl' premiere,1,sarcasm_headlines,,
barb from 'stranger things' is pissed she was left in the upside down,1,sarcasm_headlines,,
report: sheldon adelson backs trump trip to israel after $100 million pledge,1,sarcasm_headlines,,
ranking 25 of the best 'american horror story' characters ever,1,sarcasm_headlines,,
barry jenkins quietly makes history with oscar nomination trifecta,1,sarcasm_headlines,,
"here's how to become kris jenner's assistant, according to kris jenner",1,sarcasm_headlines,,
pope admits he made 'serious errors' in handling chile sex abuse allegations,1,sarcasm_headlines,,
how to track santa claus' flight around the world this christmas eve,1,sarcasm_headlines,,
google once made a promise not to be evil. will alphabet uphold it?,1,sarcasm_headlines,,
"how to beat the winter blues, according to top experts",1,sarcasm_headlines,,
mike bloomberg apologizes for giving his top political journalists a watergate-era nickname,1,sarcasm_headlines,,
get lucky now: 4 simple ways to jump start your successes in life,1,sarcasm_headlines,,
native american students sue the u.s. government over dismal education,1,sarcasm_headlines,,
wednesday's morning email: republicans on cusp of passing tax giveaway,1,sarcasm_headlines,,
france-bound airliner grounded at amsterdam over threatening tweet,1,sarcasm_headlines,,
r.l. stine releases 'goosebumps' titles his publisher rejected,1,sarcasm_headlines,,
stephen colbert takes out a 'for your consideration' ad for trump's fake news awards,1,sarcasm_headlines,,
buck up. the denver holiday season is upon us,1,sarcasm_headlines,,
senate's turn to act on patent reform this week,1,sarcasm_headlines,,
how to stop the tragic loss of beer on st. patrick's day,1,sarcasm_headlines,,
9 nitty-gritty organizing tips,1,sarcasm_headlines,,
the roots to premiere 2 children's series on amazon,1,sarcasm_headlines,,
voters face some confusion at polls in alabama special election,1,sarcasm_headlines,,
msnbc head pledges to boost diversity after cinco de mayo disaster,1,sarcasm_headlines,,
"'everything, everything' answers calls for more movies about women of color just being women",1,sarcasm_headlines,,
mental health and nuclear weapons,1,sarcasm_headlines,,
lena dunham defends 'girls' writer accused of raping 17-year-old,1,sarcasm_headlines,,
fact-checking walmart's fact-check of the new york times,1,sarcasm_headlines,,
angelique kerber defeats serena williams in australian open,1,sarcasm_headlines,,
there's a major intensity gap on the gop's new health bill,1,sarcasm_headlines,,
stephen colbert mocks lawmakers for talking porn instead of guns,1,sarcasm_headlines,,
climate deal text 'agreed' in paris,1,sarcasm_headlines,,
"here's why miley cyrus is my non-straight, non-binary role model",1,sarcasm_headlines,,
craig sager brings his a-game to facetime fellow cancer patient,1,sarcasm_headlines,,
'saturday night live' celebrates halloween with spooktacular montage,1,sarcasm_headlines,,
nuclear warhead thrilled for chance to finally escape north korea,0,sarcasm_headlines,,
birdman is an astonishing new film,1,sarcasm_headlines,,
seth meyers has a not-so-subtle message for donald trump,1,sarcasm_headlines,,
"the great seafood treats of late summer, part ii: the fish fry",1,sarcasm_headlines,,
bethenny frankel fights back after instagram controversy,1,sarcasm_headlines,,
alice waters: 'we are digesting values' when we eat,1,sarcasm_headlines,,
pakistani military engagement: walking a fine line between saudi arabia and iran,1,sarcasm_headlines,,
is 'the happiest man in america' still happy?,1,sarcasm_headlines,,
samsung slashes profit forecast after pulling plug on note 7 smartphone,1,sarcasm_headlines,,
this rescued mink just discovered the joy of being in water,1,sarcasm_headlines,,
james woods goes after anderson cooper with homophobic 'butt plug' tweet,1,sarcasm_headlines,,
zeke thomas wants gay men to stop staying silent about assault,1,sarcasm_headlines,,
lena dunham's dog quiz is shameful,1,sarcasm_headlines,,
scientists discover perfect little out-of-the-way place,0,sarcasm_headlines,,
things heat up in the kitchen when 12-year-old busts out moves we didn't see coming,1,sarcasm_headlines,,
dems call for investigation into group behind planned parenthood 'sting' videos,1,sarcasm_headlines,,
obama takes part in town hall on gun violence,1,sarcasm_headlines,,
why shopping doesn't solve problems in the fashion industry,1,sarcasm_headlines,,
'house of cards' tweet about the comey testimony is spot on,1,sarcasm_headlines,,
travel ban challengers lose bid for rudy giuliani's purported 'muslim ban' memo,1,sarcasm_headlines,,
why it might cost you a bit more to get in the door at costco,1,sarcasm_headlines,,
avoid confrontation in the south china sea,1,sarcasm_headlines,,
from the maasai mara to the bbc's big cat diary: an interview with jackson looseyia,1,sarcasm_headlines,,
"news roundup for may 31, 2017",1,sarcasm_headlines,,
samantha bee sums up ivanka trump's new white house role in just 8 words,1,sarcasm_headlines,,
why were so many beloved christmas songs written by jewish musicians?,1,sarcasm_headlines,,
8 common habits that are completely killing the chances of living out your dream,1,sarcasm_headlines,,
teen accepted into 113 colleges chooses full ride to hbcu,1,sarcasm_headlines,,
rules for selling during winter months,1,sarcasm_headlines,,
twitter rips hillary-bashing susan sarandon for women-unite speech at golden globes,1,sarcasm_headlines,,
